subject,tag,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,manual analysis
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\classify\maxent.py,517,57,1,12,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\classify\naivebayes.py,132,58,2,13,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\classify\weka.py,138,63,2,18,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\aligned.py,81,162,1,20,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\api.py,393,96,1,13,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\api.py,408,111,1,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\bracket_parse.py,61,72,1,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\chasen.py,35,111,1,17,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\childes.py,63,109,1,16,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\childes.py,138,109,1,16,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\chunked.py,86,88,1,18,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\chunked.py,116,88,1,18,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\chunked.py,152,88,1,18,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\dependency.py,56,120,1,15,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\framenet.py,836,72,3,16,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\framenet.py,1230,96,3,23,1,0,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\framenet.py,1395,58,2,12,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\framenet.py,2038,56,2,11,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\indian.py,41,106,1,15,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\ipipan.py,112,115,1,13,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\ipipan.py,135,104,1,12,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\knbc.py,170,90,2,28,1,0,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\lin.py,117,72,1,13,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\nkjp.py,141,108,1,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\nps_chat.py,64,57,1,12,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\pl196x.py,189,117,1,16,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\pl196x.py,212,92,1,13,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\pl196x.py,240,116,1,16,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\plaintext.py,110,112,1,17,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\ppattach.py,73,112,1,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\sinica_treebank.py,71,57,1,12,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\switchboard.py,88,122,3,18,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\tagged.py,107,171,1,24,1,1,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\timit.py,283,155,3,34,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\timit.py,293,155,3,34,1,1,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\toolbox.py,27,80,1,15,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\util.py,744,81,2,17,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\verbnet.py,373,118,1,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\wordnet.py,1434,109,3,18,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\corpus\reader\xmldocs.py,384,110,1,15,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\draw\table.py,957,110,1,17,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\draw\tree.py,399,114,1,12,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\inference\discourse.py,327,66,1,16,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\metrics\agreement.py,153,57,2,15,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\metrics\association.py,83,66,3,22,1,0,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\api.py,47,69,2,12,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\dependencygraph.py,463,60,2,16,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\parse\nonprojectivedependencyparser.py,756,66,2,9,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\boxer.py,346,113,2,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,562,56,1,14,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,635,109,1,20,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\drt.py,811,90,1,17,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\glue.py,416,117,2,27,1,0,1
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\sem\util.py,94,144,2,21,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tag\brill_trainer.py,262,86,2,18,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tag\hmm.py,951,75,1,13,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tag\__init__.py,105,72,1,14,1,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tbl\template.py,159,61,1,15,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tokenize\punkt.py,1274,64,1,13,0,0,0
nltk,3.0.2,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\nltk\nltk\nltk\tokenize\texttiling.py,216,80,1,20,1,0,0
matplotlib,v1.4.3,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\matplotlib\matplotlib\setupext.py,1527,99,2,15,1,0,0
matplotlib,v1.4.3,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\matplotlib\matplotlib\examples\animation\simple_3danim.py,46,58,1,25,0,0,0
matplotlib,v1.4.3,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\matplotlib\matplotlib\examples\pylab_examples\dolphin.py,74,64,2,21,0,0,0
matplotlib,v1.4.3,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\animation.py,494,84,2,17,1,0,0
