id,summary,status,owner,type,component,version
13768,Bug in Django ORM when filtering with 'in' lookup and None in values list (1.1.x and 1.2.x),new,nobody,Bug,"Database layer (models, ORM)",1.2
13758,MySQLdb utf8_bin and django causes UnicodeDecodeError,closed,nobody,Bug,"Database layer (models, ORM)",master
13757,Signal inconsistency between auto_created and manually defined intermediate models for m2m fields,new,nobody,Bug,"Database layer (models, ORM)",1.2
13756,File upload not working under Tomcat,closed,nobody,Bug,HTTP handling,1.2
13755,HttpRequest.is_ajax() should be used together with vary_on_headers('HTTP_X_REQUESTED_WITH'),closed,nobody,Bug,Documentation,1.0
13750,"ImageField accessing height or width and then data results in ""I/O operation on closed file""",assigned,aethemba,Bug,File uploads/storage,1.2
13735,Broken table layout if content is too large,closed,nobody,Bug,contrib.admin,1.2
13729,UK localflavor mis-named/documentation bug.,closed,nobody,Bug,contrib.localflavor,1.2
13725,assertRedirects not taking url scheme into account,closed,unaizalakain,Bug,Testing framework,master
13724,Calling QuerySet.delete() through a relation the DB router is ignored.,closed,paulcollins,Bug,"Database layer (models, ORM)",1.3
13711,Very long field names on models cause problems,closed,anubhav9042,Bug,"Database layer (models, ORM)",master
13704,utils.html.urlize mishandles IDN style domain names,closed,nobody,Bug,Template system,1.2
13696,Admin Edit Inline templates don' t output hidden field for PK when it isn't an autoField and has editable=False,closed,dArignac,Bug,contrib.admin,1.2
13694,SafeMIMEText argument names incompatible with those from MIMEText,closed,ramiro,Bug,Core (Mail),master
13689,Paginator.page fails when Paginator is set up with a unicode string in the per_page parameter,closed,nobody,Bug,Core (Other),master
13684,a bug in a catch-all try..except in Django masks other exceptions: local variable 'resolver' referenced before assignment,closed,nobody,Bug,HTTP handling,1.3
13677,wrong backend with multidb and modelformset,new,dgouldin,Bug,"Database layer (models, ORM)",1.2
13670,postgis adapter fails to compare against empty string,closed,nobody,Bug,GIS,1.2
13666,Updates with F objects on decimal fields raise MySQL warnings,new,nobody,Bug,"Database layer (models, ORM)",1.7
13648,'%s' escaping support for sqlite3,closed,lukeplant,Bug,"Database layer (models, ORM)",master
13646,Wrong RE in comma_separated_int_list_re,closed,nobody,Bug,"Database layer (models, ORM)",1.2
13640,add_filter in django/db/models/ sql/query.py causes exception when model have 'evaluate' attribute,closed,tobias,Bug,"Database layer (models, ORM)",master
13637,Generic Relations don't work correctly on a non-default database alias,new,,Bug,contrib.contenttypes,master
13630,DatabaseOperations doesn't have same constructor with SQLITE and PostgreSQL backend,closed,nobody,Bug,"Database layer (models, ORM)",1.2
13618,prepopulated_fields crashes with get_readonly_fields,closed,tobias,Bug,contrib.admin,master
13614,selectfilter2 many to many widget data loss with browser issues,new,julien,Bug,contrib.admin,1.3
13612,manage.py imports settings.py even when --settings is used,closed,graham_king,Bug,Core (Management commands),master
13603,module_has_submodule fails when package is of type module,closed,nobody,Bug,Utilities,master
13584,django.forms FileField does not allow empty files.,closed,closedbracket,Bug,File uploads/storage,master
13579,None gets ignored by __in filter,closed,gruszczy,Bug,"Database layer (models, ORM)",1.2
13570,SMTP backend should try harder to figure out the local host name,assigned,sernin,Bug,Core (Mail),1.2
13565,Using syncdb with Oracle using synonyms causes ORA-00955.,closed,nobody,Bug,"Database layer (models, ORM)",1.2
13562,values() cannot follow reverse one-to-one relationship,closed,nobody,Bug,"Database layer (models, ORM)",1.2
13539,The delete confirmation page does not check for object-level permissions when building the related list,new,,Bug,contrib.admin,1.2-beta
13533,queries test fails under MySQL InnoDB,closed,nobody,Bug,"Database layer (models, ORM)",1.2-beta
13528,db_table truncation is applied based on the properties of the default database,new,,Bug,"Database layer (models, ORM)",master
13462,GoogleMaps object should default to version 2 of google maps,closed,EvilDMP,Bug,GIS,master
13461,Reference to aggregated field AND double underscore notation results in bad SQL,closed,nobody,Bug,"Database layer (models, ORM)",1.1
13437,SelectDateField doesn't retain partially posted values when USE_L10N=True,closed,nobody,Bug,Forms,master
