ID,Title,Created At,Closed At
5263,Headers missing from nbconvert output,2014-03-03T21:32:19Z,2014-03-03T22:02:25Z
5251,ipython console ignoring some stream messages?,2014-03-03T00:15:30Z,2014-03-07T21:07:05Z
5238,Raw cell placeholder is not removed when you edit the cell,2014-02-27T23:38:09Z,2014-03-19T19:21:03Z
5227,display_method of objects with custom __getattr__,2014-02-26T16:19:33Z,2014-02-27T22:59:47Z
5224,Audit nbconvert HTML output,2014-02-26T01:16:48Z,2014-03-07T22:14:43Z
5192,horisontal scrollbar overlaps output or touches next cell,2014-02-21T22:50:33Z,2014-05-15T17:55:03Z
5189,Tooltip pager mode is broken,2014-02-21T20:25:38Z,2014-03-25T22:22:43Z
5176,QtConsole: Keys for switching tabs do not work on OS X,2014-02-21T00:07:07Z,
5149,Clicking on a TextBoxWidget in FF completely breaks dual mode.,2014-02-18T22:59:12Z,2014-02-28T23:54:41Z
5141,tornado error static file,2014-02-18T06:56:03Z,2014-02-21T01:05:09Z
5135,Minor formatting issue when entering subscript LaTeX in a Notebook Markdown cell,2014-02-16T22:37:22Z,2014-06-04T20:37:54Z
5120,"append Firefox overflow-x fix, again",2014-02-13T18:06:20Z,2014-03-05T21:03:54Z
5113,ButtonWidget without caption wrong height.,2014-02-13T01:31:00Z,2014-02-17T16:37:08Z
5106,Flexbox CSS specificity bugs,2014-02-12T19:08:37Z,2014-03-25T00:21:54Z
5096,Client.map is not fault tolerant,2014-02-11T22:42:45Z,2014-02-12T00:09:02Z
5094,Dancing cells in notebook,2014-02-11T20:28:47Z,2014-02-28T23:55:31Z
5084,Consistent approach for HTML/JS output on nbviewer,2014-02-09T22:11:24Z,2014-03-17T17:59:51Z
5069,Box model changes broke the Keyboard Shortcuts help modal,2014-02-08T03:42:55Z,2014-02-08T05:57:10Z
5064,"Errors during interact display at the terminal, not anywhere in the notebook",2014-02-07T23:31:21Z,2014-02-08T19:16:02Z
5051,FF Fix: code cell missing hscroll (2),2014-02-06T18:24:34Z,2014-02-07T23:19:52Z
5050,Notebook cells truncated with Firefox,2014-02-06T17:58:56Z,2014-03-05T09:55:33Z
5038,Fix multiple press keyboard events,2014-02-05T21:29:33Z,2014-02-07T22:54:47Z
5020,Python Lists translated to javascript objects in widgets,2014-02-04T05:35:16Z,2014-02-05T00:43:50Z
5016,Help menu external-link icons break layout in FF,2014-02-04T01:33:50Z,2014-02-05T22:08:18Z
5013,Widget alignment differs between FF and Chrome,2014-02-03T23:52:02Z,2014-02-21T20:37:40Z
5009,notebook signatures don't work,2014-02-03T21:04:08Z,2014-02-05T05:21:39Z
5006,Comm code is not run in the same context as notebook code,2014-02-03T20:08:37Z,
5003,Fix pretty reprs of super() objects,2014-02-03T18:27:09Z,2014-02-04T23:47:14Z
5002,"the green cell border moving forever in Chrome, when there are many code cells.",2014-02-03T07:32:32Z,2014-03-03T19:42:50Z
4999,Notebook focus effects,2014-02-02T23:08:21Z,2014-02-28T23:55:19Z
4997,Inconsistent %matplotlib qt behavior,2014-02-02T21:01:24Z,2014-02-11T02:16:22Z
4990,_repr_html_ exception reporting corner case when using type(foo),2014-02-02T05:53:02Z,2014-02-13T00:13:07Z
4989,Filename tab completion completely broken,2014-02-02T02:39:05Z,2014-02-02T19:54:50Z
4988,start using new codemirror completion,2014-02-01T22:13:00Z,2014-06-22T13:36:57Z
4987,Widget lifecycle problems,2014-02-01T20:30:00Z,2014-02-20T18:22:10Z
4986,Cell horizontal scrollbar is missing in FF but not in Chrome,2014-02-01T15:31:32Z,2014-02-19T22:08:04Z
4981,Vertical slider layout broken,2014-02-01T05:13:55Z,2014-02-03T21:05:28Z
4976,Container widget layout broken on Firefox,2014-01-31T22:57:43Z,2014-02-03T23:48:45Z
4971,Fixing issues with js tests,2014-01-31T18:43:55Z,2014-02-01T04:38:32Z
4961,Bug when constructing a selection widget with both values and labels,2014-01-30T18:27:25Z,2014-02-04T23:27:23Z
4951,TextWidget to code cell command mode bug.,2014-01-30T00:24:42Z,2014-02-01T04:40:26Z
4950,Two fixes for file upload related bugs,2014-01-29T23:54:45Z,2014-01-29T23:59:11Z
4948,reveal: ipython css overrides reveal themes,2014-01-29T23:07:05Z,2014-01-29T23:33:12Z
4947,reveal: slides that are too big?,2014-01-29T23:05:13Z,2014-01-29T23:29:12Z
4946,TeX produced cannot be converted to PDF,2014-01-29T23:02:15Z,2014-03-19T20:18:09Z
4945,Heading/cells positioning problem and cell output wrapping,2014-01-29T22:58:37Z,2014-03-17T18:38:10Z
4944,Trouble finding ipynb path in Windows 8,2014-01-29T22:56:21Z,2014-03-26T00:56:08Z
4941,Eliminating display of intermediate stages in progress bars,2014-01-29T22:47:54Z,2014-03-20T19:32:28Z
4913,"Mathjax, Markdown, tex, env* and italic",2014-01-29T00:37:21Z,2014-01-29T00:48:38Z
4907,Test for traceback depth fails on Windows,2014-01-28T20:27:13Z,2014-01-29T19:12:46Z
4906,Test for IPython.embed() fails on Windows,2014-01-28T20:25:23Z,2014-01-29T19:12:46Z
4902,"print preview does not work, custom.css not found",2014-01-28T18:31:11Z,2014-03-17T17:51:41Z
4882,Too many files open when starting and stopping kernel repeatedly,2014-01-27T12:55:39Z,2014-01-29T18:58:50Z
4872,BUG: ipcontroller process memory grows on large inputs,2014-01-25T19:54:12Z,
4871,Notebook upload fails after Delete,2014-01-25T19:03:02Z,2014-01-29T23:59:11Z
4860,Completer As-You-Type Broken,2014-01-24T11:08:10Z,2014-02-22T02:08:19Z
4857,Deadlock due to readline,2014-01-24T01:00:59Z,2016-11-06T20:15:43Z
4850,Inline math sequences shouldn't affect markdown code editor formatting.,2014-01-23T07:28:03Z,
4841,rubbish null bytes at the end of notebook file,2014-01-21T14:02:17Z,2014-10-02T23:27:53Z
4839,Error in Session.send_raw(),2014-01-21T12:37:24Z,2014-03-05T01:44:26Z
4835,running ipython on python files adds an extra traceback frame,2014-01-20T17:00:24Z,2014-01-24T23:40:01Z
4830,broken symlinks in notebook directory lead to 'Error connecting to server' in the dashboard,2014-01-19T21:40:13Z,2014-09-04T22:40:14Z
4829,Not able to connect qtconsole in Windows 8,2014-01-19T06:01:15Z,2014-03-03T04:15:26Z
4825,File Upload URL set incorrectly,2014-01-17T23:57:38Z,2014-01-29T23:59:11Z
4822,IPython.lib.editorhooks broken on windows,2014-01-17T17:18:38Z,2014-11-14T19:45:10Z
4816,.ipynb_checkpoint completion triggered on Out[10].<tab>,2014-01-16T22:33:23Z,2015-01-12T00:37:19Z
4809,Arbitrary scrolling (jumping) in clicks in modal UI for notebook,2014-01-16T15:55:02Z,2014-02-01T04:40:26Z
4798,Modal UI + CodeMirror vim-mode bugs / feedback,2014-01-14T00:30:56Z,
4791,Did updates to ipython_directive bork support for cython magic snippets?,2014-01-13T16:15:10Z,2014-01-27T01:56:38Z
4777,Tab completion on `__` deletes line in notebook,2014-01-09T23:00:48Z,2015-03-02T05:19:07Z
4759,Application._load_config_files log parameter default fails,2014-01-06T19:26:05Z,2014-01-27T19:39:42Z
