ID,Title,Created At,Closed At
3633,twinx clear problem,2014-10-10T20:27:08Z,2015-01-27T06:11:06Z
3626,"Manual xlim log stackplots not showing, linear stackplots segfault",2014-10-09T06:06:55Z,2014-12-27T22:51:50Z
3622,"setup.py creates a zombie C extension called ""freetype2""",2014-10-07T21:03:17Z,2014-10-10T18:42:18Z
3574,`rotation` parameter has no effect on `RegularPolyCollection`,2014-09-27T14:10:09Z,2014-09-30T15:26:01Z
3557,Bug fix for plotting minor ticks,2014-09-23T04:08:14Z,2015-01-13T05:08:47Z
3553,fill_between disappears on axis limit change,2014-09-22T20:16:56Z,2014-11-21T13:21:19Z
3540,Pick events broken in log axes,2014-09-19T01:35:43Z,
3522,Inverting a datetime / plot_date y-axis,2014-09-16T13:35:58Z,2014-09-27T03:49:50Z
3514,Ticks on top axis disappear if tick size is too large (when using bbox_inches='tight'),2014-09-14T14:02:45Z,2014-09-27T18:13:11Z
3493,Incorrect use of super() in mplot3d?,2014-09-10T12:16:15Z,2014-09-13T15:58:44Z
3483,Cannot properly reload figure that was previously pickled,2014-09-07T16:31:45Z,2015-02-28T23:58:26Z
3473,afm.py error in python3,2014-09-05T13:44:52Z,2015-07-21T14:46:19Z
3444,Assume backend/optional package checks fail after defined timeout,2014-08-31T15:52:25Z,2014-11-10T20:20:41Z
3404,Wrong plot on basemap with `latlon=True` ,2014-08-25T10:56:37Z,2014-08-26T12:50:14Z
3400,Errorbar does not plot errorbars centered on the marker,2014-08-22T20:13:45Z,
3392,Cannot pickle `figure` or `axes` (TypeError: instancemethod),2014-08-21T14:34:23Z,2014-10-10T17:01:51Z
3371,Incorrect PDF output with rasterized=True,2014-08-15T14:28:06Z,
3336,Boxplot shows wrong color for lower outliers,2014-08-01T07:44:46Z,2014-08-07T12:44:38Z
3316,wx crashes on exit if figure not shown and not explicitly closed ,2014-07-27T13:33:03Z,2015-12-09T13:57:22Z
3304,1.4.0 RC1+7: *** glibc detected *** python: corrupted double-linked list,2014-07-25T14:51:22Z,2014-07-31T03:14:41Z
3298,Wedge not honouring specified angular range,2014-07-24T11:18:17Z,2014-10-19T04:27:01Z
3286,colorbar doesn't work correctly with pcolormesh and polar projection,2014-07-22T17:53:46Z,
3196,Issue with iterability of axes arguments [backport to 1.4.x],2014-07-07T19:54:23Z,2014-12-03T16:39:34Z
3173,Issues with clipping image in display coordinates,2014-06-30T16:35:22Z,
